key;category;rareness;name;slug;desc;category_rn;name_rn;desc_rn
1180516130;BFH_ID_P_CAT_BARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_COMPENSATOR;m16a3-compensator;BFH_ID_P_ADESC_COMPENSATOR;MUZZLE;COMPENSATOR;Reduces vertical recoil by venting muzzle gasses upwards, improving control at a cost to accuracy.
2579026443;BFH_ID_P_CAT_CLOSERANGE;RarenessLevel_Standard;BFH_ID_P_ANAME_RX01;870p-marine-magnum-reflex-rds;BFH_ID_P_ADESC_RX01;CLOSE RANGE;REFLEX [RDS];Red dot sight with a bright aiming point and clear sight picture for rapid target acquisition and tracking.
3853001769;BFH_ID_P_CAT_BARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_COMPENSATOR;ump-45-compensator;BFH_ID_P_ADESC_COMPENSATOR;MUZZLE;COMPENSATOR;Reduces vertical recoil by venting muzzle gasses upwards, improving control at a cost to accuracy.
3167395287;BFH_ID_P_CAT_BARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_HEAVYBARREL;p90-heavy-barrel;BFH_ID_P_ADESC_HEAVYBARREL;MUZZLE;HEAVY BARREL;Free floating heavy barrel improves aimed fire accuracy and slightly decreases recoil, but decreases maneuverability.
1966998893;BFH_ID_P_CAT_CLOSERANGE;RarenessLevel_Standard;BFH_ID_P_ANAME_GHOSTRING;hk45c-ghost-ring;BFH_ID_P_ADESC_GHOSTRING;CLOSE RANGE;IMPROVED IRON SIGHTS;Replaces the standard iron sights with a set of rapid acquisition Improved Iron Sights for a clear sight picture.
2165992032;BFH_ID_P_CAT_LONGRANGE;RarenessLevel_Standard;BFH_ID_P_ANAME_PKS07;saiga-308-pks-07-7x;BFH_ID_P_ADESC_PKS07;LONG RANGE;PKS-07 [7X];7x magnification Russian marksman daylight scope for engaging targets over long distances.
154927165;BFH_ID_P_CAT_BARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_PISTSILEN;hk45c-suppressor;BFH_ID_P_ADESC_PISTSILEN;MUZZLE;SUPPRESSOR;Pistol silencer that increases stealth by hiding your muzzle report and position on the minimap. Reduces bullet velocity and increases bullet drop.
3854275882;BFH_ID_P_CAT_BARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_MUZZLEBR;r700ltr-muzzle-brake;BFH_ID_P_ADESC_MUZZLEBR;MUZZLE;MUZZLE BRAKE;Reduces felt recoil, making the weapon more controllable in rapid fire.
839887900;BFH_ID_P_CAT_BARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_COMPENSATOR;g36c-compensator;BFH_ID_P_ADESC_COMPENSATOR;MUZZLE;COMPENSATOR;Reduces vertical recoil by venting muzzle gasses upwards, improving control at a cost to accuracy.
1984717900;BFH_ID_P_CAT_MEDIUMRANGE;RarenessLevel_Standard;BFH_ID_P_ANAME_PRISMATIC;870p-marine-magnum-prisma-3-4x;BFH_ID_P_ADESC_PRISMATIC;MEDIUM RANGE;;
3541833825;BFH_ID_P_CAT_MEDIUMRANGE;RarenessLevel_Standard;BFH_ID_P_ANAME_ACOG;r700ltr-acog-4x;BFH_ID_P_ADESC_ACOG;MEDIUM RANGE;ACOG [4X];Fixed-power 4x Advanced Combat Optic Gunsight for use in bright to low light at medium range.
917375638;BFH_ID_P_CAT_BARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_FLSHIDER;92fs-flash-hider;BFH_ID_P_ADESC_FLSHIDER;MUZZLE;FLASH HIDER;Reduces or eliminates muzzle flash, making it easier to see the target and harder for enemies to observe the shot origin.
3893998645;BFH_ID_P_CAT_CLOSERANGE;RarenessLevel_Standard;BFH_ID_P_ANAME_COYOTE;p90-coyote-rds;BFH_ID_P_ADESC_COYOTE;CLOSE RANGE;;
3045649432;BFH_ID_P_CAT_ACCESSORY;RarenessLevel_Standard;BFH_ID_P_NAME_EXTENDEDMAG;akm-extended-magazine;BFH_ID_P_DESC_EXTENDEDMAG;ACCESSORY;EXTENDED MAGAZINE;Magazine with additional rounds for less frequent reloading.  Adds a slight penalty to maneuverability.
2216725798;BFH_ID_P_CAT_CLOSERANGE;RarenessLevel_Standard;BFH_ID_P_ANAME_PKAS;ptr-91-pka-s-1x;BFH_ID_P_ADESC_PKAS;CLOSE RANGE;PK-AS [1X];Russian unmagnified holographic sight with excellent light gathering capabilities and a clear field of view.
2929028599;BFH_ID_P_CAT_BARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_HEAVYBARREL;g36c-heavy-barrel;BFH_ID_P_ADESC_HEAVYBARREL;MUZZLE;HEAVY BARREL;Free floating heavy barrel improves aimed fire accuracy and slightly decreases recoil, but decreases maneuverability.
2199266350;BFH_ID_P_CAT_MEDIUMRANGE;RarenessLevel_Standard;BFH_ID_P_ANAME_M145;saiga-308-m145-3-4x;BFH_ID_P_ADESC_M145;MEDIUM RANGE;M145 [3.4X];Fixed-power 3.4x Machine Gun Optic designed for medium to long range engagements.
3506166251;BFH_ID_P_CAT_UNDERBARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_VERTFOR;m16a3-vertical-grip;BFH_ID_P_ADESC_VERTFOR;GRIP;VERTICAL GRIP;Vertical foregrip that provides greater stability when firing your weapon while moving.  Also makes the weapon slightly more stable in unaimed fire.
3207255307;BFH_ID_P_CAT_BARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_MUZZLEBR;uzi-muzzle-brake;BFH_ID_P_ADESC_MUZZLEBR;MUZZLE;MUZZLE BRAKE;Reduces felt recoil, making the weapon more controllable in rapid fire.
641918835;BFH_ID_P_CAT_UNDERBARREL;RarenessLevel_Standard;BFH_ID_P_ANAME_ERGOFOR;mg36-ergo-grip;BFH_ID_P_ADESC_ERGOFOR;GRIP;;
